Year,ISO Code,Countries,Government consumption,Government investment,Size of Government,Regulatory trade barriers,Financial openness,Controls of the movement of capital and people,Credit market regulations,Hiring regulations and minimum wage,Freedom to enter markets and compete,Regulation
2021,AGO,Angola,7.18,8.9,7.71,3.06,2.5,2.0,5.98,6.25,4.09,4.73
2021,ALB,Albania,7.76,7.55,7.73,8.9,2.93,5.8,9.23,6.53,6.23,6.97
2021,ARE,United Arab Emirates,3.83,0.0,5.28,7.82,10.0,5.73,7.67,8.75,7.68,7.47
2021,ARG,Argentina,5.69,8.7,6.21,5.04,2.67,1.42,5.6,3.88,4.93,5.3
2021,ARM,Armenia,6.47,8.98,7.76,6.71,7.93,7.29,9.07,5.83,6.63,6.94
2021,AUS,Australia,2.77,9.31,5.92,8.09,10.0,5.12,9.15,6.95,8.68,8.12
2021,AUT,Austria,2.85,10.0,4.95,8.53,10.0,7.59,8.63,8.2,7.48,7.28
2021,AZE,Azerbaijan,5.77,0.0,4.6,7.01,4.82,4.14,8.0,6.67,5.77,6.44
2021,BDI,Burundi,3.2,9.12,6.71,2.96,1.25,1.5,5.0,8.75,5.52,5.51
2021,BEL,Belgium,2.08,10.0,4.51,8.9,10.0,5.69,8.64,6.95,7.68,7.7
2021,BEN,Benin,7.94,10.0,7.99,4.49,1.53,1.54,9.92,6.38,5.84,6.79
2021,BFA,Burkina Faso,5.35,6.98,7.23,5.03,3.32,2.34,9.29,5.83,6.24,6.81
2021,BGD,Bangladesh,9.45,7.55,8.32,2.66,3.32,2.14,8.03,8.75,5.25,5.67
2021,BGR,Bulgaria,4.55,9.15,6.79,8.16,8.13,7.0,9.03,5.28,7.21,7.02
2021,BHR,Bahrain,3.39,10.0,7.08,6.91,8.75,7.5,7.61,6.67,7.92,7.38
2021,BHS,"Bahamas, The",6.11,10.0,8.52,4.05,2.5,2.07,6.67,8.2,7.41,6.88
2021,BIH,Bosnia and Herzegovina,5.31,9.66,6.76,6.97,3.32,3.12,9.67,5.28,6.8,6.77
2021,BLR,Belarus,4.6,10.0,6.25,6.1,1.53,0.77,6.66,7.5,5.05,5.51
2021,BLZ,Belize,5.46,1.89,6.2,5.27,3.32,2.08,8.2,6.38,6.25,6.69
2021,BOL,Bolivia,5.19,0.0,5.94,4.01,3.48,2.84,7.64,1.8,4.93,4.81
2021,BRA,Brazil,4.75,10.0,6.55,6.19,4.57,3.31,6.89,3.62,6.75,5.59
2021,BRB,Barbados,7.69,10.0,7.31,5.97,4.23,2.85,9.33,6.95,6.41,7.05
2021,BRN,Brunei Darussalam,0.0,10.0,6.67,4.32,9.45,5.48,7.83,8.75,7.13,7.66
2021,BTN,Bhutan,4.27,2.73,5.85,7.34,3.61,2.02,7.8,7.5,7.16,7.18
2021,BWA,Botswana,0.0,7.82,6.38,6.12,6.62,3.8,9.32,5.0,4.0,6.05
2021,CAF,Central African Republic,9.09,1.18,6.35,2.39,1.0,1.26,8.33,1.25,5.38,4.88
2021,CAN,Canada,3.39,10.0,6.28,8.93,10.0,6.55,9.32,6.95,8.02,7.99
2021,CHE,Switzerland,6.01,10.0,7.51,8.39,10.0,7.7,9.28,8.75,7.96,7.97
2021,CHL,Chile,6.16,10.0,7.47,7.67,8.5,4.78,7.0,6.05,8.38,6.73
2021,CHN,China,3.14,3.87,5.08,7.02,3.32,2.31,6.16,8.2,6.47,5.62
2021,CIV,Côte d'Ivoire,7.91,6.09,6.61,3.47,3.32,2.45,7.69,5.28,6.64,6.41
2021,CMR,Cameroon,7.61,8.17,7.23,2.58,3.32,2.55,7.51,6.12,6.22,6.03
2021,COD,"Congo, Dem. Rep.",8.4,10.0,7.57,1.9,3.32,2.05,5.69,3.33,5.85,5.02
2021,COG,"Congo, Rep.",3.05,10.0,5.83,2.5,2.93,2.78,4.67,1.8,5.06,4.53
2021,COL,Colombia,6.32,6.58,6.93,4.39,5.84,3.47,8.48,6.95,7.37,6.54
2021,COM,Comoros,8.98,3.05,6.42,4.43,1.22,1.97,8.91,3.33,6.3,6.1
2021,CPV,Cabo Verde,3.57,10.0,7.16,5.86,7.2,5.48,9.1,4.45,6.8,6.74
2021,CRI,Costa Rica,5.69,9.31,7.42,6.85,10.0,8.3,7.5,4.87,7.06,6.73
2021,CYP,Cyprus,4.46,10.0,6.68,8.86,8.75,5.77,9.49,5.28,5.81,7.29
2021,CZE,Czechia,2.31,9.14,6.19,9.13,10.0,7.72,9.06,6.95,7.24,7.37
2021,DEU,Germany,2.64,10.0,5.66,8.73,10.0,5.39,7.93,6.95,8.34,7.73
2021,DJI,Djibouti,4.21,7.14,5.51,3.56,6.54,3.22,9.3,3.05,6.52,6.83
2021,DNK,Denmark,1.54,9.97,5.18,8.54,10.0,6.41,10.0,8.75,9.11,8.39
2021,DOM,Dominican Republic,7.44,10.0,8.75,7.68,7.85,4.68,7.19,5.28,6.21,6.0
2021,DZA,Algeria,3.47,4.0,4.45,1.55,1.53,1.66,5.0,4.03,5.44,4.84
2021,ECU,Ecuador,5.9,7.51,7.0,5.04,7.25,3.06,8.52,4.72,6.56,5.96
2021,EGY,"Egypt, Arab Rep.",9.36,0.0,5.3,3.7,4.59,3.46,4.97,7.5,5.54,4.73
2021,ESP,Spain,3.65,10.0,5.88,8.52,10.0,5.36,8.95,4.45,7.38,7.27
2021,EST,Estonia,3.19,8.77,6.42,8.99,10.0,6.07,9.4,7.08,8.69,8.18
2021,ETH,Ethiopia,8.56,6.12,6.86,6.62,2.42,1.78,6.99,5.83,6.1,6.05
2021,FIN,Finland,2.24,9.23,4.9,8.43,10.0,5.48,9.65,5.7,9.08,8.18
2021,FJI,Fiji,4.9,5.51,6.76,4.51,4.57,2.39,9.57,6.95,7.13,7.74
2021,FRA,France,2.49,10.0,4.88,8.99,10.0,5.99,8.44,3.62,7.44,7.28
